,,,,,,,
ALL DIVISIONS ,,,,,,,
Middle School Round 1 Max Score=200,,,Open and All Service Round 1 Max Score = 330,,,,
Middle School Round 2 Max Score = 300,,,Open and Al Service Round 2 Max Score = 330,,,,
Middle School Round 1 and 2 Max Score = 500,,,Open and All Service Round and Round 2  Max Score = 660,,,,
,,,,,,,
Team #,Division / Category,Location,Round 1 Score,Round 2  Network Security (Images),Round 2 Cisco Networking ,Cumulative Score,Tier
12-0482,Middle School,FL,178.00,179.00,0.00,357.00,Middle School
12-3147,Middle School,VA,166.00,191.00,0.00,357.00,Middle School
12-3008,Middle School,SC,160.00,197.00,0.00,357.00,Middle School
12-5099,Middle School,HI,160.00,197.00,0.00,357.00,Middle School
12-3546,Middle School,GA,155.00,202.00,0.00,357.00,Middle School
12-1720,Middle School,CO,148.00,209.00,0.00,357.00,Middle School
12-2480,Middle School,CA,122.00,235.00,0.00,357.00,Middle School
12-2316,Middle School,AL,156.00,200.00,0.00,356.00,Middle School
12-0611,Middle School,AL,154.00,202.00,0.00,356.00,Middle School
12-0038,Middle School,GA,144.00,212.00,0.00,356.00,Middle School
12-0020,Middle School,AL,178.00,177.00,0.00,355.00,Middle School
12-1106,Middle School,GA,178.00,177.00,0.00,355.00,Middle School
12-3660,Middle School,CO,166.00,189.00,0.00,355.00,Middle School
12-1449,Middle School,CA,156.00,199.00,0.00,355.00,Middle School
12-3133,Middle School,IL,150.00,205.00,0.00,355.00,Middle School
12-1906,Middle School,CA,146.00,209.00,0.00,355.00,Middle School
12-4669,Middle School,CA,144.00,211.00,0.00,355.00,Middle School
12-5514,Middle School,NJ,145.00,209.00,0.00,354.00,Middle School
12-3744,Middle School,GA,178.00,175.00,0.00,353.00,Middle School
12-3544,Middle School,GA,131.00,221.00,0.00,352.00,Middle School
12-5428,Middle School,TX,173.00,178.00,0.00,351.00,Middle School
12-2314,Middle School,AL,151.00,200.00,0.00,351.00,Middle School
12-1415,Middle School,TX,155.00,196.00,0.00,351.00,Middle School
12-1783,Middle School,LA,155.00,196.00,0.00,351.00,Middle School
12-4919,Middle School,SC,162.00,188.00,0.00,350.00,Middle School
12-2619,Middle School,CA,155.00,195.00,0.00,350.00,Middle School
12-5406,Middle School,TX,166.00,183.00,0.00,349.00,Middle School
12-2487,Middle School,CA,142.00,207.00,0.00,349.00,Middle School
12-0876,Middle School,GA,160.00,189.00,0.00,349.00,Middle School
12-0832,Middle School,CA,144.00,205.00,0.00,349.00,Middle School
12-2758,Middle School,AL,167.00,180.00,0.00,347.00,Middle School
12-4564,Middle School,MD,167.00,180.00,0.00,347.00,Middle School
12-3497,Middle School,CO,166.00,181.00,0.00,347.00,Middle School
12-2705,Middle School,ID,158.00,189.00,0.00,347.00,Middle School
12-1729,Middle School,CA,149.00,198.00,0.00,347.00,Middle School
12-0018,Middle School,OK,172.00,174.00,0.00,346.00,Middle School
12-2315,Middle School,AL,161.00,185.00,0.00,346.00,Middle School
12-3348,Middle School,TN,152.00,194.00,0.00,346.00,Middle School
12-3221,Middle School,FL,154.00,191.00,0.00,345.00,Middle School
12-4447,Middle School,CA,136.00,209.00,0.00,345.00,Middle School
12-1309,Middle School,GA,166.00,178.00,0.00,344.00,Middle School
12-7262,Middle School,CA,160.00,183.00,0.00,343.00,Middle School
12-0805,Middle School,CA,158.00,185.00,0.00,343.00,Middle School
12-2517,Middle School,NC,148.00,195.00,0.00,343.00,Middle School
12-6766,Middle School,CA,148.00,195.00,0.00,343.00,Middle School
12-4660,Middle School,CA,143.00,199.00,0.00,342.00,Middle School
12-2575,Middle School,OH,123.00,219.00,0.00,342.00,Middle School
12-3545,Middle School,GA,167.00,174.00,0.00,341.00,Middle School
12-6173,Middle School,CA,156.00,185.00,0.00,341.00,Middle School
12-4658,Middle School,CA,149.00,192.00,0.00,341.00,Middle School
12-4037,Middle School,CT,147.00,194.00,0.00,341.00,Middle School
12-1631,Middle School,TX,161.00,179.00,0.00,340.00,Middle School
12-3503,Middle School,GA,140.00,200.00,0.00,340.00,Middle School
12-0474,Middle School,HI,177.00,162.00,0.00,339.00,Middle School
12-0016,Middle School,OK,171.00,168.00,0.00,339.00,Middle School
12-0234,Middle School,NV,143.00,196.00,0.00,339.00,Middle School
12-5273,Middle School,CA,131.00,208.00,0.00,339.00,Middle School
12-6015,Middle School,RI,151.00,187.00,0.00,338.00,Middle School
12-7259,Middle School,TX,124.00,214.00,0.00,338.00,Middle School
12-5310,Middle School,VA,172.00,165.00,0.00,337.00,Middle School
12-7487,Middle School,RI,161.00,176.00,0.00,337.00,Middle School
12-0027,Middle School,CO,161.00,176.00,0.00,337.00,Middle School
12-5096,Middle School,CA,156.00,180.00,0.00,336.00,Middle School
12-1602,Middle School,GA,135.00,201.00,0.00,336.00,Middle School
12-2781,Middle School,TN,129.00,207.00,0.00,336.00,Middle School
12-2576,Middle School,OH,161.00,174.00,0.00,335.00,Middle School
12-2685,Middle School,GA,167.00,167.00,0.00,334.00,Middle School
12-4340,Middle School,CO,167.00,167.00,0.00,334.00,Middle School
12-5129,Middle School,CO,166.00,168.00,0.00,334.00,Middle School
12-3991,Middle School,TX,132.00,202.00,0.00,334.00,Middle School
12-3628,Middle School,CA,148.00,185.00,0.00,333.00,Middle School
12-5144,Middle School,CO,145.00,188.00,0.00,333.00,Middle School
12-6747,Middle School,CA,140.00,193.00,0.00,333.00,Middle School
12-1531,Middle School,LA,183.00,149.00,0.00,332.00,Middle School
12-2725,Middle School,RI,172.00,160.00,0.00,332.00,Middle School
12-3176,Middle School,CO,166.00,166.00,0.00,332.00,Middle School
12-5965,Middle School,AL,160.00,172.00,0.00,332.00,Middle School
12-4070,Middle School,TX,139.00,192.00,0.00,331.00,Middle School
12-2035,Middle School,CT,143.00,188.00,0.00,331.00,Middle School
12-0147,Middle School,GA,130.00,200.00,0.00,330.00,Middle School
12-2164,Middle School,TX,155.00,174.00,0.00,329.00,Middle School
12-5098,Middle School,HI,154.00,175.00,0.00,329.00,Middle School
12-3486,Middle School,MO,151.00,178.00,0.00,329.00,Middle School
12-6340,Middle School,FL,128.00,201.00,0.00,329.00,Middle School
12-5128,Middle School,CO,150.00,178.00,0.00,328.00,Middle School
12-1356,Middle School,CO,162.00,166.00,0.00,328.00,Middle School
12-2166,Middle School,TX,165.00,163.00,0.00,328.00,Middle School
12-0741,Middle School,CAN,162.00,166.00,0.00,328.00,Middle School
12-5300,Middle School,NC,156.00,172.00,0.00,328.00,Middle School
12-3992,Middle School,TX,152.00,176.00,0.00,328.00,Middle School
12-2809,Middle School,AL,151.00,176.00,0.00,327.00,Middle School
12-0627,Middle School,WY,178.00,146.00,0.00,324.00,Middle School
12-1629,Middle School,TX,156.00,168.00,0.00,324.00,Middle School
12-5625,Middle School,FL,143.00,181.00,0.00,324.00,Middle School
12-0410,Middle School,CA,151.00,172.00,0.00,323.00,Middle School
12-5453,Middle School,CO,148.00,175.00,0.00,323.00,Middle School
12-4668,Middle School,CA,113.00,210.00,0.00,323.00,Middle School
12-6169,Middle School,MI,155.00,167.00,0.00,322.00,Middle School
12-3569,Middle School,KS,146.00,176.00,0.00,322.00,Middle School
12-5713,Middle School,AZ,166.00,155.00,0.00,321.00,Middle School
12-2739,Middle School,MN,149.00,172.00,0.00,321.00,Middle School
12-3217,Middle School,FL,133.00,188.00,0.00,321.00,Middle School
12-4116,Middle School,VA,126.00,195.00,0.00,321.00,Middle School
12-0703,Middle School,CAN,134.00,186.00,0.00,320.00,Middle School
12-0823,Middle School,HI,145.00,174.00,0.00,319.00,Middle School
12-3932,Middle School,TX,155.00,164.00,0.00,319.00,Middle School
12-3908,Middle School,LA,145.00,174.00,0.00,319.00,Middle School
12-5405,Middle School,TX,143.00,176.00,0.00,319.00,Middle School
12-1189,Middle School,OH,161.00,157.00,0.00,318.00,Middle School
12-6353,Middle School,TX,150.00,168.00,0.00,318.00,Middle School
12-5741,Middle School,MI,149.00,169.00,0.00,318.00,Middle School
12-5130,Middle School,CO,143.00,175.00,0.00,318.00,Middle School
12-0998,Middle School,CA,111.00,206.00,0.00,317.00,Middle School
12-5742,Middle School,RI,157.00,159.00,0.00,316.00,Middle School
12-3965,Middle School,CA,152.00,163.00,0.00,315.00,Middle School
12-1353,Middle School,AL,148.00,167.00,0.00,315.00,Middle School
12-4915,Middle School,TX,140.00,175.00,0.00,315.00,Middle School
12-5680,Middle School,NH,129.00,186.00,0.00,315.00,Middle School
12-5125,Middle School,FL,151.00,163.00,0.00,314.00,Middle School
12-1987,Middle School,FL,149.00,165.00,0.00,314.00,Middle School
12-1163,Middle School,CA,148.00,165.00,0.00,313.00,Middle School
12-7036,Middle School,HI,184.00,129.00,0.00,313.00,Middle School
12-4603,Middle School,SC,145.00,168.00,0.00,313.00,Middle School
12-1698,Middle School,NJ,134.00,179.00,0.00,313.00,Middle School
12-6748,Middle School,CA,123.00,190.00,0.00,313.00,Middle School
12-5081,Middle School,HI,120.00,193.00,0.00,313.00,Middle School
12-7265,Middle School,TX,146.00,166.00,0.00,312.00,Middle School
12-4125,Middle School,MD,125.00,187.00,0.00,312.00,Middle School
12-0034,Middle School,CO,154.00,157.00,0.00,311.00,Middle School
12-4646,Middle School,CA,149.00,162.00,0.00,311.00,Middle School
12-6442,Middle School,CA,149.00,162.00,0.00,311.00,Middle School
12-5134,Middle School,CO,145.00,166.00,0.00,311.00,Middle School
12-5145,Middle School,CO,143.00,168.00,0.00,311.00,Middle School
12-5681,Middle School,NH,119.00,192.00,0.00,311.00,Middle School
12-4575,Middle School,ID,161.00,149.00,0.00,310.00,Middle School
12-2620,Middle School,CA,154.00,156.00,0.00,310.00,Middle School
12-2780,Middle School,TN,155.00,154.00,0.00,309.00,Middle School
12-3009,Middle School,SC,142.00,167.00,0.00,309.00,Middle School
12-2246,Middle School,CAN,149.00,158.00,0.00,307.00,Middle School
12-0414,Middle School,CA,149.00,158.00,0.00,307.00,Middle School
12-0115,Middle School,SC,146.00,161.00,0.00,307.00,Middle School
12-6427,Middle School,IN,127.00,180.00,0.00,307.00,Middle School
12-5640,Middle School,HI,129.00,177.00,0.00,306.00,Middle School
12-1578,Middle School,AZ,143.00,163.00,0.00,306.00,Middle School
12-2043,Middle School,CA,126.00,180.00,0.00,306.00,Middle School
12-2027,Middle School,HI,144.00,161.00,0.00,305.00,Middle School
12-3127,Middle School,CA,141.00,164.00,0.00,305.00,Middle School
12-0481,Middle School,FL,136.00,169.00,0.00,305.00,Middle School
12-6425,Middle School,CAN,123.00,182.00,0.00,305.00,Middle School
12-4675,Middle School,NM,154.00,150.00,0.00,304.00,Middle School
12-0614,Middle School,AL,154.00,150.00,0.00,304.00,Middle School
12-2580,Middle School,CA,151.00,153.00,0.00,304.00,Middle School
12-3085,Middle School,NJ,146.00,158.00,0.00,304.00,Middle School
12-3986,Middle School,TX,124.00,180.00,0.00,304.00,Middle School
12-5042,Middle School,NJ,143.00,160.00,0.00,303.00,Middle School
12-2621,Middle School,CA,138.00,165.00,0.00,303.00,Middle School
12-4906,Middle School,MI,134.00,169.00,0.00,303.00,Middle School
12-5274,Middle School,CA,111.00,192.00,0.00,303.00,Middle School
12-1922,Middle School,CA,133.00,169.00,0.00,302.00,Middle School
12-0775,Middle School,PA,124.00,178.00,0.00,302.00,Middle School
12-6242,Middle School,TX,148.00,153.00,0.00,301.00,Middle School
12-5799,Middle School,RI,144.00,157.00,0.00,301.00,Middle School
12-0742,Middle School,CAN,156.00,144.00,0.00,300.00,Middle School
12-1555,Middle School,TX,123.00,177.00,0.00,300.00,Middle School
12-6389,Middle School,TX,139.00,160.00,0.00,299.00,Middle School
12-7267,Middle School,WI,127.00,172.00,0.00,299.00,Middle School
12-2762,Middle School,TX,109.00,188.00,0.00,297.00,Middle School
12-0807,Middle School,CA,150.00,147.00,0.00,297.00,Middle School
12-6270,Middle School,FL,142.00,155.00,0.00,297.00,Middle School
12-6203,Middle School,SC,172.00,124.00,0.00,296.00,Middle School
12-3201,Middle School,MD,135.00,161.00,0.00,296.00,Middle School
12-5311,Middle School,VA,125.00,171.00,0.00,296.00,Middle School
12-0142,Middle School,IN,163.00,132.00,0.00,295.00,Middle School
12-1355,Middle School,AL,150.00,145.00,0.00,295.00,Middle School
12-0732,Middle School,AL,105.00,190.00,0.00,295.00,Middle School
12-0615,Middle School,AL,99.00,196.00,0.00,295.00,Middle School
12-3215,Middle School,FL,125.00,169.00,0.00,294.00,Middle School
12-2247,Middle School,CAN,140.00,154.00,0.00,294.00,Middle School
12-2549,Middle School,MN,131.00,163.00,0.00,294.00,Middle School
12-3401,Middle School,LA,113.00,181.00,0.00,294.00,Middle School
12-1060,Middle School,CO,127.00,166.00,0.00,293.00,Middle School
12-0877,Middle School,GA,150.00,142.00,0.00,292.00,Middle School
12-0125,Middle School,SC,134.00,158.00,0.00,292.00,Middle School
12-2190,Middle School,SC,119.00,173.00,0.00,292.00,Middle School
12-5320,Middle School,UT,153.00,138.00,0.00,291.00,Middle School
12-5018,Middle School,NJ,133.00,158.00,0.00,291.00,Middle School
12-3456,Middle School,CA,159.00,131.00,0.00,290.00,Middle School
12-2726,Middle School,RI,144.00,146.00,0.00,290.00,Middle School
12-3482,Middle School,TX,155.00,135.00,0.00,290.00,Middle School
12-4894,Middle School,TX,121.00,169.00,0.00,290.00,Middle School
12-3084,Middle School,NJ,121.00,168.00,0.00,289.00,Middle School
12-2510,Middle School,TN,141.00,147.00,0.00,288.00,Middle School
12-5223,Middle School,CA,129.00,159.00,0.00,288.00,Middle School
12-2167,Middle School,TX,128.00,160.00,0.00,288.00,Middle School
12-0733,Middle School,AL,115.00,173.00,0.00,288.00,Middle School
12-5714,Middle School,AZ,149.00,138.00,0.00,287.00,Middle School
12-6239,Middle School,TX,113.00,174.00,0.00,287.00,Middle School
12-3354,Middle School,FL,111.00,175.00,0.00,286.00,Middle School
12-6692,Middle School,GA,143.00,143.00,0.00,286.00,Middle School
12-1596,Middle School,CA,131.00,155.00,0.00,286.00,Middle School
12-0924,Middle School,AL,149.00,136.00,0.00,285.00,Middle School
12-5077,Middle School,CA,109.00,176.00,0.00,285.00,Middle School
12-3481,Middle School,TX,118.00,166.00,0.00,284.00,Middle School
12-4076,Middle School,IL,161.00,122.00,0.00,283.00,Middle School
12-5537,Middle School,CA,142.00,141.00,0.00,283.00,Middle School
12-4036,Middle School,CT,121.00,161.00,0.00,282.00,Middle School
12-0784,Middle School,WV,142.00,139.00,0.00,281.00,Middle School
12-3435,Middle School,RI,141.00,140.00,0.00,281.00,Middle School
12-3696,Middle School,AR,120.00,161.00,0.00,281.00,Middle School
12-2045,Middle School,CA,135.00,145.00,0.00,280.00,Middle School
12-1472,Middle School,TX,102.00,178.00,0.00,280.00,Middle School
12-4647,Middle School,CA,129.00,150.00,0.00,279.00,Middle School
12-2044,Middle School,CA,126.00,153.00,0.00,279.00,Middle School
12-0154,Middle School,GA,121.00,158.00,0.00,279.00,Middle School
12-1953,Middle School,HI,143.00,133.00,0.00,276.00,Middle School
12-2235,Middle School,CAN,149.00,125.00,0.00,274.00,Middle School
12-0763,Middle School,WI,130.00,144.00,0.00,274.00,Middle School
12-5401,Middle School,TX,126.00,147.00,0.00,273.00,Middle School
12-2019,Middle School,MD,109.00,164.00,0.00,273.00,Middle School
12-6751,Middle School,CA,106.00,167.00,0.00,273.00,Middle School
12-0875,Middle School,GA,155.00,117.00,0.00,272.00,Middle School
12-6202,Middle School,SC,148.00,124.00,0.00,272.00,Middle School
12-3035,Middle School,TX,138.00,134.00,0.00,272.00,Middle School
12-1001,Middle School,CA,108.00,164.00,0.00,272.00,Middle School
12-0036,Middle School,CO,138.00,133.00,0.00,271.00,Middle School
12-5779,Middle School,TX,120.00,151.00,0.00,271.00,Middle School
12-5022,Middle School,VA,102.00,169.00,0.00,271.00,Middle School
12-3916,Middle School,TX,134.00,136.00,0.00,270.00,Middle School
12-5079,Middle School,AP,115.00,155.00,0.00,270.00,Middle School
12-1598,Middle School,CA,113.00,157.00,0.00,270.00,Middle School
12-1107,Middle School,GA,139.00,130.00,0.00,269.00,Middle School
12-1446,Middle School,CA,134.00,135.00,0.00,269.00,Middle School
12-5092,Middle School,CA,117.00,152.00,0.00,269.00,Middle School
12-2810,Middle School,AL,121.00,147.00,0.00,268.00,Middle School
12-4832,Middle School,AR,123.00,144.00,0.00,267.00,Middle School
12-2426,Middle School,CO,118.00,148.00,0.00,266.00,Middle School
12-5220,Middle School,CA,114.00,152.00,0.00,266.00,Middle School
12-0412,Middle School,CA,101.00,165.00,0.00,266.00,Middle School
12-3485,Middle School,TX,123.00,142.00,0.00,265.00,Middle School
12-0362,Middle School,CA,94.00,171.00,0.00,265.00,Middle School
12-3896,Middle School,ID,150.00,113.00,0.00,263.00,Middle School
12-5076,Middle School,CA,126.00,137.00,0.00,263.00,Middle School
12-6835,Middle School,OH,123.00,140.00,0.00,263.00,Middle School
12-2107,Middle School,MD,149.00,113.00,0.00,262.00,Middle School
12-5711,Middle School,AZ,135.00,126.00,0.00,261.00,Middle School
12-2754,Middle School,MO,141.00,120.00,0.00,261.00,Middle School
12-7064,Middle School,MD,110.00,150.00,0.00,260.00,Middle School
12-0727,Middle School,AZ,110.00,150.00,0.00,260.00,Middle School
12-6376,Middle School,TX,157.00,102.00,0.00,259.00,Middle School
12-4250,Middle School,CA,134.00,125.00,0.00,259.00,Middle School
12-2479,Middle School,CA,111.00,148.00,0.00,259.00,Middle School
12-4920,Middle School,SC,101.00,157.00,0.00,258.00,Middle School
12-2028,Middle School,HI,149.00,108.00,0.00,257.00,Middle School
12-1554,Middle School,TX,112.00,144.00,0.00,256.00,Middle School
12-3857,Middle School,GA,128.00,126.00,0.00,254.00,Middle School
12-0492,Middle School,NJ,132.00,121.00,0.00,253.00,Middle School
12-4198,Middle School,KS,129.00,124.00,0.00,253.00,Middle School
12-2529,Middle School,IL,117.00,136.00,0.00,253.00,Middle School
12-1445,Middle School,CA,98.00,155.00,0.00,253.00,Middle School
12-0774,Middle School,PA,147.00,105.00,0.00,252.00,Middle School
12-2724,Middle School,RI,103.00,149.00,0.00,252.00,Middle School
12-0987,Middle School,CA,109.00,142.00,0.00,251.00,Middle School
12-6554,Middle School,GA,106.00,145.00,0.00,251.00,Middle School
12-1050,Middle School,CA,93.00,158.00,0.00,251.00,Middle School
12-6152,Middle School,OH,98.00,152.00,0.00,250.00,Middle School
12-7268,Middle School,CA,97.00,153.00,0.00,250.00,Middle School
12-3658,Middle School,CO,133.00,116.00,0.00,249.00,Middle School
12-4755,Middle School,CA,133.00,116.00,0.00,249.00,Middle School
12-5135,Middle School,FL,101.00,148.00,0.00,249.00,Middle School
12-3434,Middle School,RI,140.00,108.00,0.00,248.00,Middle School
12-7354,Middle School,CA,137.00,111.00,0.00,248.00,Middle School
12-2755,Middle School,CA,106.00,142.00,0.00,248.00,Middle School
12-4474,Middle School,CA,98.00,150.00,0.00,248.00,Middle School
12-3918,Middle School,TX,145.00,102.00,0.00,247.00,Middle School
12-4632,Middle School,NJ,118.00,129.00,0.00,247.00,Middle School
12-4074,Middle School,IL,114.00,133.00,0.00,247.00,Middle School
12-1627,Middle School,TX,106.00,141.00,0.00,247.00,Middle School
12-5095,Middle School,CA,90.00,157.00,0.00,247.00,Middle School
12-5763,Middle School,UT,131.00,113.00,0.00,244.00,Middle School
12-4433,Middle School,CA,130.00,114.00,0.00,244.00,Middle School
12-0393,Middle School,AZ,134.00,109.00,0.00,243.00,Middle School
12-5892,Middle School,CA,122.00,121.00,0.00,243.00,Middle School
12-1697,Middle School,NJ,118.00,125.00,0.00,243.00,Middle School
12-4912,Middle School,TX,117.00,126.00,0.00,243.00,Middle School
12-2012,Middle School,CT,107.00,136.00,0.00,243.00,Middle School
12-6767,Middle School,CA,143.00,99.00,0.00,242.00,Middle School
12-7269,Middle School,CA,123.00,119.00,0.00,242.00,Middle School
12-4633,Middle School,NM,113.00,129.00,0.00,242.00,Middle School
12-5348,Middle School,AL,151.00,90.00,0.00,241.00,Middle School
12-2252,Middle School,CAN,116.00,125.00,0.00,241.00,Middle School
12-4324,Middle School,CAN,128.00,113.00,0.00,241.00,Middle School
12-5426,Middle School,TX,128.00,113.00,0.00,241.00,Middle School
12-6378,Middle School,TX,107.00,134.00,0.00,241.00,Middle School
12-1533,Middle School,CO,66.00,175.00,0.00,241.00,Middle School
12-4933,Middle School,CA,109.00,131.00,0.00,240.00,Middle School
12-0609,Middle School,AZ,108.00,132.00,0.00,240.00,Middle School
12-1630,Middle School,TX,106.00,133.00,0.00,239.00,Middle School
12-6693,Middle School,GA,103.00,135.00,0.00,238.00,Middle School
12-6419,Middle School,CA,135.00,102.00,0.00,237.00,Middle School
12-6708,Middle School,CA,122.00,115.00,0.00,237.00,Middle School
12-4599,Middle School,WA,116.00,121.00,0.00,237.00,Middle School
12-3893,Middle School,KY,115.00,121.00,0.00,236.00,Middle School
12-1000,Middle School,CA,108.00,128.00,0.00,236.00,Middle School
12-5062,Middle School,AL,82.00,154.00,0.00,236.00,Middle School
12-7488,Middle School,VA,98.00,137.00,0.00,235.00,Middle School
12-2829,Middle School,TX,138.00,97.00,0.00,235.00,Middle School
12-2236,Middle School,CAN,117.00,118.00,0.00,235.00,Middle School
12-2518,Middle School,NC,107.00,128.00,0.00,235.00,Middle School
12-2168,Middle School,TX,88.00,147.00,0.00,235.00,Middle School
12-4323,Middle School,CAN,121.00,113.00,0.00,234.00,Middle School
12-3349,Middle School,TN,125.00,108.00,0.00,233.00,Middle School
12-6227,Middle School,TX,107.00,125.00,0.00,232.00,Middle School
12-4656,Middle School,CA,106.00,126.00,0.00,232.00,Middle School
12-0884,Middle School,WY,99.00,133.00,0.00,232.00,Middle School
12-0612,Middle School,AL,82.00,150.00,0.00,232.00,Middle School
12-5639,Middle School,HI,86.00,145.00,0.00,231.00,Middle School
12-2969,Middle School,ID,139.00,91.00,0.00,230.00,Middle School
12-2251,Middle School,CAN,91.00,137.00,0.00,228.00,Middle School
12-2578,Middle School,CA,87.00,141.00,0.00,228.00,Middle School
12-4485,Middle School,CA,125.00,102.00,0.00,227.00,Middle School
12-0413,Middle School,CA,80.00,147.00,0.00,227.00,Middle School
12-5143,Middle School,CO,95.00,131.00,0.00,226.00,Middle School
12-5777,Middle School,TX,93.00,132.00,0.00,225.00,Middle School
12-5341,Middle School,TX,125.00,98.00,0.00,223.00,Middle School
12-3841,Middle School,CO,111.00,112.00,0.00,223.00,Middle School
12-5206,Middle School,CA,112.00,110.00,0.00,222.00,Middle School
12-2722,Middle School,RI,108.00,114.00,0.00,222.00,Middle School
12-5275,Middle School,CA,91.00,131.00,0.00,222.00,Middle School
12-0151,Middle School,GA,111.00,110.00,0.00,221.00,Middle School
12-2841,Middle School,TN,137.00,83.00,0.00,220.00,Middle School
12-0401,Middle School,FL,104.00,115.00,0.00,219.00,Middle School
12-1921,Middle School,CA,71.00,148.00,0.00,219.00,Middle School
12-0986,Middle School,CA,131.00,87.00,0.00,218.00,Middle School
12-4573,Middle School,SC,81.00,137.00,0.00,218.00,Middle School
12-2502,Middle School,CO,124.00,93.00,0.00,217.00,Middle School
12-1675,Middle School,CA,76.00,140.00,0.00,216.00,Middle School
12-3659,Middle School,CO,154.00,60.00,0.00,214.00,Middle School
12-2245,Middle School,CAN,110.00,104.00,0.00,214.00,Middle School
12-5240,Middle School,TX,91.00,123.00,0.00,214.00,Middle School
12-6201,Middle School,SC,111.00,102.00,0.00,213.00,Middle School
12-4478,Middle School,HI,108.00,105.00,0.00,213.00,Middle School
12-6413,Middle School,CA,106.00,107.00,0.00,213.00,Middle School
12-5528,Middle School,TX,141.00,71.00,0.00,212.00,Middle School
12-0026,Middle School,CO,121.00,91.00,0.00,212.00,Middle School
12-6223,Middle School,TX,97.00,115.00,0.00,212.00,Middle School
12-5221,Middle School,CA,143.00,68.00,0.00,211.00,Middle School
12-1796,Middle School,OK,79.00,132.00,0.00,211.00,Middle School
12-1448,Middle School,CA,97.00,113.00,0.00,210.00,Middle School
12-4516,Middle School,MT,102.00,107.00,0.00,209.00,Middle School
12-5093,Middle School,CA,82.00,127.00,0.00,209.00,Middle School
12-2377,Middle School,FL,110.00,98.00,0.00,208.00,Middle School
12-4092,Middle School,FL,85.00,123.00,0.00,208.00,Middle School
12-2974,Middle School,MN,53.00,155.00,0.00,208.00,Middle School
12-1597,Middle School,CA,107.00,100.00,0.00,207.00,Middle School
12-5595,Middle School,FL,92.00,115.00,0.00,207.00,Middle School
12-2414,Middle School,AZ,91.00,116.00,0.00,207.00,Middle School
12-0415,Middle School,CA,109.00,96.00,0.00,205.00,Middle School
12-5250,Middle School,FL,95.00,110.00,0.00,205.00,Middle School
12-0950,Middle School,AR,65.00,140.00,0.00,205.00,Middle School
12-1231,Middle School,CO,98.00,106.00,0.00,204.00,Middle School
12-4364,Middle School,AZ,73.00,130.00,0.00,203.00,Middle School
12-3353,Middle School,FL,65.00,138.00,0.00,203.00,Middle School
12-1070,Middle School,CA,38.00,164.00,0.00,202.00,Middle School
12-1469,Middle School,TX,0.00,201.00,0.00,201.00,Middle School
12-1230,Middle School,CO,125.00,74.00,0.00,199.00,Middle School
12-5214,Middle School,CA,95.00,104.00,0.00,199.00,Middle School
12-2723,Middle School,RI,127.00,71.00,0.00,198.00,Middle School
12-3464,Middle School,CA,94.00,104.00,0.00,198.00,Middle School
12-1628,Middle School,TX,94.00,104.00,0.00,198.00,Middle School
12-5131,Middle School,CO,73.00,125.00,0.00,198.00,Middle School
12-5645,Middle School,AR,73.00,125.00,0.00,198.00,Middle School
12-7196,Middle School,VI,70.00,127.00,0.00,197.00,Middle School
12-2234,Middle School,CAN,121.00,74.00,0.00,195.00,Middle School
12-3917,Middle School,TX,120.00,75.00,0.00,195.00,Middle School
12-6905,Middle School,LA,108.00,87.00,0.00,195.00,Middle School
12-2279,Middle School,CAN,94.00,101.00,0.00,195.00,Middle School
12-3500,Middle School,CO,86.00,109.00,0.00,195.00,Middle School
12-3083,Middle School,NJ,104.00,90.00,0.00,194.00,Middle School
12-2889,Middle School,NM,97.00,97.00,0.00,194.00,Middle School
12-1447,Middle School,CA,124.00,70.00,0.00,194.00,Middle School
12-6264,Middle School,MD,104.00,90.00,0.00,194.00,Middle School
12-4072,Middle School,CA,94.00,100.00,0.00,194.00,Middle School
12-5336,Middle School,TN,108.00,84.00,0.00,192.00,Middle School
12-4893,Middle School,TX,83.00,107.00,0.00,190.00,Middle School
12-4673,Middle School,NM,124.00,65.00,0.00,189.00,Middle School
12-2583,Middle School,CA,113.00,76.00,0.00,189.00,Middle School
12-2415,Middle School,AZ,66.00,123.00,0.00,189.00,Middle School
12-2709,Middle School,CO,113.00,75.00,0.00,188.00,Middle School
12-1625,Middle School,TX,77.00,108.00,0.00,185.00,Middle School
12-3840,Middle School,CO,71.00,114.00,0.00,185.00,Middle School
12-7101,Middle School,VA,83.00,101.00,0.00,184.00,Middle School
12-6088,Middle School,TX,77.00,107.00,0.00,184.00,Middle School
12-0914,Middle School,AL,98.00,84.00,0.00,182.00,Middle School
12-0913,Middle School,AL,83.00,99.00,0.00,182.00,Middle School
12-5707,Middle School,AZ,72.00,110.00,0.00,182.00,Middle School
12-6191,Middle School,GA,0.00,181.00,0.00,181.00,Middle School
12-5239,Middle School,TX,89.00,91.00,0.00,180.00,Middle School
12-3114,Middle School,CA,66.00,114.00,0.00,180.00,Middle School
12-3969,Middle School,CA,0.00,180.00,0.00,180.00,Middle School
12-0402,Middle School,FL,85.00,94.00,0.00,179.00,Middle School
12-6907,Middle School,LA,77.00,102.00,0.00,179.00,Middle School
12-1300,Middle School,WI,77.00,101.00,0.00,178.00,Middle School
12-3931,Middle School,NV,0.00,177.00,0.00,177.00,Middle School
12-4472,Middle School,CA,68.00,108.00,0.00,176.00,Middle School
