OPEN and ALL Service Divisions,,,,,,,
MAXIMUM SCORE = 400,,,,,,,
Raw Cisco Quiz of 30 = 30 ,,,,,Total Cisco Score = 100,,
Packet Tracer Score =70 Weighted,,,,,Total CCS Image Score = 300,,
Team #,Division / Category,Location,Tier,Round Network Security (Images),Round Cisco Networking ,Cumulative,Advancement
12-1510,Civil Air Patrol,FL,Platinum,152,47.92,199.92,Advances to Semifinals
12-1512,Open,AZ,Platinum,153,69.21,222.21,Does Not Advance
12-1513,Open,AZ,Platinum,160,56.03,216.03,Does Not Advance
12-1514,Open,CA,Platinum,213,74.53,287.53,Advances to Semifinals
12-1515,Open,CA,Platinum,207,62.11,269.11,Advances to Semifinals
12-1516,Open,CA,Silver,85,23.48,108.48,Does Not Advance
12-1517,Open,CA,Platinum,141,47.05,188.05,Does Not Advance
12-1518,Open,CA,Silver,107,0,107,Does Not Advance
12-1519,Open,WI,Gold,131,42.55,173.55,Does Not Advance
12-1520,Open,WI,Gold,131,46.21,177.21,Does Not Advance
12-1523,Open,CA,Platinum,143,46.57,189.57,Does Not Advance
12-1524,Open,CA,Gold,158,45.64,203.64,Advances to Semifinals
12-1526,Army JROTC,MD,Gold,Withheld,Withheld,0,Registration Action Required
12-1527,Open,TX,Gold,128,18,146,Does Not Advance
12-1530,Open,VA,Platinum,228,65.22,293.22,Advances to Semifinals
12-1532,Open,CO,Platinum,196,69.14,265.14,Advances to Semifinals
12-1535,Open,RI,Platinum,189,36.86,225.86,Does Not Advance
12-1536,Open,RI,Platinum,129,84.01,213.01,Does Not Advance
12-1537,Open,HI,Gold,Withheld,Withheld,0,Registration Action Required
12-1538,Open,HI,Gold,Withheld,Withheld,0,Registration Action Required
12-1539,Marine Corps JROTC,HI,Platinum,118,40.14,158.14,Does Not Advance
12-1540,Open,CA,Platinum,119,55.07,174.07,Does Not Advance
12-1541,Open,CA,Platinum,151,45.71,196.71,Does Not Advance
12-1545,Open,CA,Gold,139,46.34,185.34,Advances to Semifinals
12-1548,Open,MD,Gold,107,78.63,185.63,Advances to Semifinals
12-1549,Open,MD,Silver,87,81.2,168.2,Advances to Semifinals
12-1550,Open,FL,Platinum,158,69.51,227.51,Does Not Advance
12-1551,Open,FL,Platinum,157,64.8,221.8,Does Not Advance
12-1553,Open,TX,Platinum,179,76.25,255.25,Advances to Semifinals
12-1557,Air Force JROTC,TX,Gold,56,33.64,89.64,Does Not Advance
12-1558,Air Force JROTC,LA,Platinum,140,48.21,188.21,Does Not Advance
12-1559,Open,WA,Platinum,169,54.71,223.71,Does Not Advance
12-1560,Marine Corps JROTC,CA,Gold,31,11,42,Does Not Advance
12-1561,Open,MA,Platinum,163,55.59,218.59,Does Not Advance
12-1562,Marine Corps JROTC,CA,Silver,75,7.5,82.5,Advances to Semifinals
12-1564,Open,MI,Platinum,161,68.22,229.22,Does Not Advance
12-1566,Open,TX,Gold,128,24.5,152.5,Does Not Advance
12-1568,Army JROTC,TX,Platinum,166,52.38,218.38,Advances to Semifinals
12-1574,Open,CO,Gold,191,63.51,254.51,Advances to Semifinals
12-1575,Open,VA,Silver,83,64.73,147.73,Advances to Semifinals
12-1577,Open,CA,Platinum,184,67.5,251.5,Does Not Advance
12-1580,Civil Air Patrol,NC,Silver,82,0,82,Advances to Semifinals
12-1581,Civil Air Patrol,NC,Gold,62,0,62,Does Not Advance
12-1582,Open,WA,Gold,92,38.67,130.67,Does Not Advance
12-1583,Air Force JROTC,WA,Platinum,106,38.84,144.84,Does Not Advance
12-1585,Open,TX,Gold,105,15,120,Does Not Advance
12-1586,Army JROTC,TX,Platinum,115,34.14,149.14,Does Not Advance
12-1587,Open,TX,Gold,159,43.38,202.38,Advances to Semifinals
12-1588,Open,TX,Platinum,172,72.88,244.88,Does Not Advance
12-1590,Open,MO,Platinum,211,84.01,295.01,Advances to Semifinals
12-1591,Open,MO,Gold,115,0,115,Does Not Advance
12-1593,Open,MO,Platinum,127,77.22,204.22,Does Not Advance
12-1601,Civil Air Patrol,WA,Platinum,78,59.32,137.32,Does Not Advance
12-1603,Open,CAN,Silver,11,8.25,19.25,Does Not Advance
12-1604,Open,CAN,Silver,24,22.55,46.55,Does Not Advance
12-1607,Open,OK,Gold,161,42.34,203.34,Advances to Semifinals
12-1608,Open,OK,Platinum,161,47.76,208.76,Does Not Advance
12-1610,Open,OK,Gold,154,38.86,192.86,Advances to Semifinals
12-1611,Open,OK,Platinum,86,38.03,124.03,Does Not Advance
12-1612,Open,OK,Gold,76,34.84,110.84,Does Not Advance
12-1613,Open,CT,Gold,151,22.5,173.5,Does Not Advance
12-1614,Open,CT,Silver,141,21,162,Advances to Semifinals
12-1617,Open,NM,Silver,0,0,0,Does Not Advance
12-1634,Air Force JROTC,AZ,Silver,24,0,24,Does Not Advance
12-1636,Navy JROTC,FL,Silver,79,21.75,100.75,Advances to Semifinals
12-1637,Air Force JROTC,AZ,Gold,76,0,76,Does Not Advance
12-1639,Civil Air Patrol,TN,Gold,73,16.5,89.5,Does Not Advance
12-1640,Navy JROTC,NM,Silver,0,0,0,Does Not Advance
12-1641,Open,CA,Platinum,164,65.11,229.11,Does Not Advance
12-1642,Open,CA,Gold,125,65.32,190.32,Advances to Semifinals
12-1643,Open,CA,Platinum,163,63.46,226.46,Does Not Advance
12-1644,Open,CA,Gold,179,21,200,Advances to Semifinals
12-1645,Open,CAN,Platinum,173,54.39,227.39,Does Not Advance
12-1646,Open,CAN,Gold,119,59.14,178.14,Does Not Advance
12-1647,Open,CAN,Silver,76,77.83,153.83,Advances to Semifinals
12-1648,Open,CAN,Silver,57,72.09,129.09,Advances to Semifinals
12-1651,Open,NJ,Gold,150,64.88,214.88,Advances to Semifinals
12-1652,Open,NJ,Gold,103,33.14,136.14,Does Not Advance
12-1653,Navy JROTC,NJ,Platinum,69,36.18,105.18,Does Not Advance
12-1654,Air Force JROTC,NV,Platinum,134,73.3,207.3,Advances to Semifinals
12-1655,Air Force JROTC,NV,Platinum,98,38.64,136.64,Does Not Advance
12-1656,Air Force JROTC,NV,Silver,9,0,9,Does Not Advance
12-1662,Open,CA,Silver,43,0,43,Does Not Advance
12-1672,Open,CA,Platinum,138,59.05,197.05,Does Not Advance
12-1674,Naval Sea Cadets Corps,CA,Gold,88,12,100,Category Wildcard
12-1677,Open,CA,Gold,0,0,0,Does Not Advance
12-1678,Open,OH,Platinum,207,60.46,267.46,Advances to Semifinals
12-1679,Open,OH,Silver,102,20.3,122.3,Advances to Semifinals
12-1680,Open,OH,Silver,118,70.03,188.03,Advances to Semifinals
12-1681,Open,OH,Silver,49,0,49,Does Not Advance
12-1686,Civil Air Patrol,IL,Silver,23,0,23,Does Not Advance
12-1687,Open,FL,Gold,110,0,110,Does Not Advance
12-1693,Navy JROTC,VA,Gold,37,0,37,Does Not Advance
12-1700,Open,NE,Platinum,142,66.14,208.14,Does Not Advance
12-1701,Open,NM,Platinum,199,58.76,257.76,Advances to Semifinals
12-1702,Open,CO,Platinum,215,85.64,300.64,Advances to Semifinals
12-1704,Open,MD,Platinum,145,65.47,210.47,Does Not Advance
12-1705,Open,MD,Platinum,141,21,162,Does Not Advance
12-1706,Open,MD,Platinum,190,90.38,280.38,Advances to Semifinals
12-1707,Open,MD,Platinum,188,62.84,250.84,Does Not Advance
12-1708,Open,MD,Gold,146,70.18,216.18,Advances to Semifinals
12-1712,Open,MI,Gold,153,51.38,204.38,Advances to Semifinals
12-1713,Air Force JROTC,MO,Platinum,151,70.57,221.57,Advances to Semifinals
12-1714,Open,MA,Platinum,182,90.01,272.01,Advances to Semifinals
12-1715,Open,MA,Platinum,105,55.43,160.43,Does Not Advance
12-1716,Navy JROTC,NC,Gold,96,49.57,145.57,Advances to Semifinals
12-1717,Open,VA,Gold,87,38.51,125.51,Does Not Advance
12-1718,Open,VA,Gold,104,52.68,156.68,Does Not Advance
12-1719,Open,CO,Platinum,152,69.14,221.14,Does Not Advance
12-1721,Navy JROTC,FL,Gold,7,26.64,33.64,Does Not Advance
12-1722,Open,CAN,Gold,145,77.32,222.32,Advances to Semifinals
12-1723,Open,TN,Platinum,173,52.01,225.01,Does Not Advance
12-1724,Open,MD,Platinum,145,59.68,204.68,Does Not Advance
12-1726,Open,CA,Gold,104,39.64,143.64,Does Not Advance
12-1727,Open,CA,Platinum,218,54.76,272.76,Advances to Semifinals
12-1728,Open,MI,Platinum,186,78.57,264.57,Advances to Semifinals
12-1730,Open,AL,Platinum,217,52.01,269.01,Advances to Semifinals
12-1731,Navy JROTC,CA,Platinum,115,21,136,Does Not Advance
12-1732,Open,VA,Gold,66,0,66,Does Not Advance
12-1733,Open,VA,Platinum,123,69.26,192.26,Does Not Advance
12-1734,Open,VA,Gold,91,62.78,153.78,Does Not Advance
12-1738,Open,CA,Silver,120,13.61,133.61,Advances to Semifinals
12-1739,Open,CA,Platinum,136,0,136,Does Not Advance
12-1741,Open,CO,Platinum,138,52.32,190.32,Does Not Advance
12-1743,Open,CT,Silver,132,95.2,227.2,Advances to Semifinals
12-1744,Open,CAN,Platinum,279,87.01,366.01,Advances to Semifinals
12-1745,Open,CAN,Gold,146,42.18,188.18,Advances to Semifinals
12-1746,Open,CAN,Gold,144,45.71,189.71,Advances to Semifinals
12-1747,Open,CAN,Gold,148,32.14,180.14,Does Not Advance
12-1748,Open,CAN,Platinum,130,46.59,176.59,Does Not Advance
12-1749,Open,CAN,Platinum,204,88.36,292.36,Advances to Semifinals
12-1750,Open,CAN,Platinum,117,71.07,188.07,Does Not Advance
12-1751,Open,CAN,Platinum,230,85.36,315.36,Advances to Semifinals
12-1752,Open,CAN,Gold,158,66.93,224.93,Advances to Semifinals
12-1753,Open,CAN,Platinum,196,92.55,288.55,Advances to Semifinals
12-1754,Open,CAN,Gold,129,35.17,164.17,Does Not Advance
12-1755,Open,CAN,Silver,126,32.48,158.48,Advances to Semifinals
12-1756,Open,CAN,Silver,102,52.68,154.68,Advances to Semifinals
12-1757,Open,CAN,Gold,92,41.64,133.64,Does Not Advance
12-1758,Open,CAN,Platinum,163,46.13,209.13,Does Not Advance
12-1760,Open,WA,Gold,115,54.03,169.03,Does Not Advance
12-1761,Open,WA,Gold,115,0,115,Does Not Advance
12-1768,Open,TX,Platinum,119,49.89,168.89,Does Not Advance
12-1770,Air Force JROTC,TX,Platinum,138,30,168,Does Not Advance
12-1771,Civil Air Patrol,AL,Silver,48,0,48,Does Not Advance
12-1774,Marine Corps JROTC,GA,Gold,98,41.47,139.47,Advances to Semifinals
12-1775,Open,CO,Platinum,140,53.05,193.05,Does Not Advance
12-1776,Open,CA,Silver,37,21,58,Does Not Advance
12-1777,Open,NV,Platinum,263,90.01,353.01,Advances to Semifinals
12-1778,Open,NV,Platinum,198,73.86,271.86,Advances to Semifinals
12-1779,Open,NV,Platinum,183,88.36,271.36,Advances to Semifinals
12-1780,Open,NV,Gold,127,46.38,173.38,Does Not Advance
12-1791,Open,MO,Silver,57,38.58,95.58,Does Not Advance
12-1792,Open,MO,Silver,38,0,38,Does Not Advance
12-1793,Open,MO,Silver,35,0,35,Does Not Advance
12-1794,Open,GA,Silver,52,25.5,77.5,Does Not Advance
12-1795,Civil Air Patrol,WI,Gold,49,0,49,Does Not Advance
12-1798,Open,SC,Platinum,158,65.68,223.68,Does Not Advance
12-1799,Open,MO,Platinum,145,51.76,196.76,Does Not Advance
12-1801,Open,TX,Platinum,172,59.72,231.72,Does Not Advance
12-1802,Open,TX,Platinum,153,50.38,203.38,Does Not Advance
12-1803,Open,TX,Platinum,170,56.11,226.11,Does Not Advance
12-1804,Open,MT,Platinum,Withheld,Withheld,0,Registration Action Required
12-1805,Open,TX,Gold,85,45.5,130.5,Does Not Advance
12-1806,Open,TX,Platinum,132,53.42,185.42,Does Not Advance
12-1808,Open,TX,Gold,133,20,153,Does Not Advance
12-1809,Civil Air Patrol,GA,Gold,111,45.36,156.36,Advances to Semifinals
12-1810,Civil Air Patrol,GA,Gold,86,0,86,Does Not Advance
12-1811,Civil Air Patrol,CT,Gold,23,0,23,Does Not Advance
12-1818,Navy JROTC,CA,Silver,84,0,84,Advances to Semifinals
12-1820,Open,AL,Gold,143,44.03,187.03,Advances to Semifinals
12-1821,Navy JROTC,MD,Gold,29,18.5,47.5,Does Not Advance
12-1822,Navy JROTC,CA,Platinum,188,71.17,259.17,Advances to Semifinals
12-1823,Navy JROTC,CA,Gold,83,46.21,129.21,Advances to Semifinals
12-1824,Navy JROTC,CA,Platinum,129,27,156,Does Not Advance
12-1825,Navy JROTC,CA,Platinum,79,32.64,111.64,Does Not Advance
12-1827,Navy JROTC,CA,Platinum,92,46.17,138.17,Does Not Advance
12-1828,Navy JROTC,CA,Gold,46,21,67,Does Not Advance
12-1832,Civil Air Patrol,AR,Gold,37,7,44,Does Not Advance
12-1833,Open,NJ,Platinum,121,87.01,208.01,Does Not Advance
12-1834,Open,NJ,Gold,141,40.47,181.47,Does Not Advance
12-1835,Open,NJ,Gold,132,34.38,166.38,Does Not Advance
12-1837,Open,KS,Gold,62,56.78,118.78,Does Not Advance
12-1839,Open,CA,Silver,139,71.77,210.77,Advances to Semifinals
12-1841,Open,CA,Silver,65,79.2,144.2,Advances to Semifinals
12-1843,Open,CA,Gold,134,13.5,147.5,Does Not Advance
12-1845,Open,CA,Gold,108,48.25,156.25,Does Not Advance
12-1846,Open,CA,Gold,121,64.64,185.64,Advances to Semifinals
12-1851,Open,HI,Platinum,194,62.11,256.11,Advances to Semifinals
12-1852,Open,KS,Platinum,249,62.46,311.46,Advances to Semifinals
12-1853,Navy JROTC,HI,Platinum,76,41.67,117.67,Does Not Advance
12-1854,Open,KS,Gold,124,10.5,134.5,Does Not Advance
12-1855,Open,TX,Platinum,145,32.68,177.68,Does Not Advance
12-1856,Open,TX,Gold,85,50.89,135.89,Does Not Advance
12-1857,Open,TX,Gold,141,18.5,159.5,Does Not Advance
12-1858,Open,TX,Platinum,189,64.13,253.13,Does Not Advance
12-1862,Open,FL,Platinum,133,54.03,187.03,Does Not Advance
12-1864,Open,CO,Platinum,170,57.76,227.76,Does Not Advance
12-1866,Army JROTC,FL,Platinum,136,53.11,189.11,Does Not Advance
12-1867,Open,TX,Silver,70,16.5,86.5,Does Not Advance
12-1868,Open,TX,Gold,142,56.72,198.72,Advances to Semifinals
12-1869,Open,TX,Gold,104,12,116,Does Not Advance
12-1870,Open,CAN,Platinum,120,29.14,149.14,Does Not Advance
12-1871,Open,CAN,Gold,86,62.32,148.32,Does Not Advance
12-1872,Open,CAN,Gold,105,24.64,129.64,Does Not Advance
12-1873,Open,CAN,Silver,66,0,66,Does Not Advance
12-1875,Open,AL,Gold,130,58.8,188.8,Advances to Semifinals
12-1878,Open,PA,Platinum,164,91.38,255.38,Advances to Semifinals
12-1879,Open,VA,Platinum,278,94.07,372.07,Advances to Semifinals
12-1881,Open,VA,Gold,34,45.18,79.18,Does Not Advance
12-1882,Open,VA,Gold,78,49.25,127.25,Does Not Advance
12-1883,Open,VA,Gold,61,0,61,Does Not Advance
12-1886,Civil Air Patrol,WA,Platinum,89,55.28,144.28,Does Not Advance
12-1887,Civil Air Patrol,NC,Gold,123,40.47,163.47,Advances to Semifinals
12-1888,Civil Air Patrol,NC,Gold,67,28.47,95.47,Does Not Advance
12-1889,Open,CA,Gold,100,18,118,Does Not Advance
12-1890,Open,CA,Gold,119,24,143,Does Not Advance
12-1891,Open,CA,Silver,39,15.75,54.75,Does Not Advance
12-1892,Open,CA,Gold,61,22.5,83.5,Does Not Advance
12-1893,Open,CA,Gold,92,24,116,Does Not Advance
12-1895,Civil Air Patrol,AZ,Gold,43,0,43,Does Not Advance
12-1898,Open,CA,Platinum,157,68.84,225.84,Does Not Advance
12-1899,Open,CA,Platinum,133,71.17,204.17,Does Not Advance
12-1900,Open,CA,Platinum,168,51.64,219.64,Does Not Advance
12-1901,Civil Air Patrol,KY,Gold,48,36.64,84.64,Does Not Advance
12-1902,Open,CA,Platinum,235,93.38,328.38,Advances to Semifinals
12-1907,Open,CAN,Gold,128,0,128,Does Not Advance
12-1908,Open,CAN,Gold,73,0,73,Does Not Advance
12-1909,Open,CAN,Gold,118,0,118,Does Not Advance
12-1910,Open,MA,Gold,122,78.34,200.34,Advances to Semifinals
12-1911,Open,MA,Silver,53,24.05,77.05,Does Not Advance
12-1912,Open,MA,Gold,106,41.84,147.84,Does Not Advance
12-1913,Open,VA,Silver,79,86.45,165.45,Advances to Semifinals
12-1915,Army JROTC,TX,Gold,80,0,80,Does Not Advance
12-1916,Civil Air Patrol,AZ,Gold,89,37.14,126.14,Advances to Semifinals
12-1925,Open,CO,Platinum,146,56.78,202.78,Does Not Advance
12-1926,Open,NJ,Gold,100,14,114,Does Not Advance
12-1927,Open,NJ,Platinum,92,49.89,141.89,Does Not Advance
12-1931,Open,CA,Platinum,292,96.07,388.07,Advances to Semifinals
12-1932,Open,CA,Platinum,282,94.05,376.05,Advances to Semifinals
12-1935,Open,CA,Platinum,289,94.05,383.05,Advances to Semifinals
12-1936,Open,CA,Platinum,297,92.71,389.71,Advances to Semifinals
12-1937,Open,CA,Platinum,254,94.05,348.05,Advances to Semifinals
12-1940,Open,CA,Platinum,268,93.38,361.38,Advances to Semifinals
12-1941,Open,CA,Platinum,242,75.88,317.88,Advances to Semifinals
12-1942,Open,CA,Platinum,280,94.05,374.05,Advances to Semifinals
12-1945,Open,CA,Platinum,254,92.71,346.71,Advances to Semifinals
12-1946,Open,CA,Platinum,260,89.71,349.71,Advances to Semifinals
12-1947,Open,CA,Platinum,199,93.38,292.38,Advances to Semifinals
12-1950,Open,CA,Platinum,226,70.5,296.5,Advances to Semifinals
12-1951,Open,CA,Platinum,73,61.13,134.13,Does Not Advance
12-1956,Open,MA,Silver,20,20.25,40.25,Does Not Advance
12-1957,Open,CA,Silver,0,0,0,Does Not Advance
12-1958,Open,CA,Silver,20,0,20,Does Not Advance
12-1960,Open,CA,Silver,132,78.01,210.01,Advances to Semifinals
12-1962,Open,CA,Platinum,177,91.36,268.36,Advances to Semifinals
12-1963,Open,CA,Gold,173,60.09,233.09,Advances to Semifinals
12-1964,Open,CA,Gold,133,50.72,183.72,Advances to Semifinals
12-1965,Open,CA,Gold,145,37.39,182.39,Does Not Advance
12-1966,Open,CA,Gold,124,18,142,Does Not Advance
12-1967,Open,CA,Gold,156,46.76,202.76,Advances to Semifinals
12-1968,Open,CA,Silver,56,0,56,Does Not Advance
12-1970,Open,CA,Gold,101,0,101,Does Not Advance
12-1971,Civil Air Patrol,WI,Silver,66,0,66,Advances to Semifinals
12-1972,Air Force JROTC,WA,Gold,25,0,25,Does Not Advance
12-1973,Civil Air Patrol,GA,Gold,26,33.64,59.64,Does Not Advance
12-1974,Civil Air Patrol,GA,Silver,25,15.68,40.68,Does Not Advance
12-1975,Navy JROTC,NJ,Platinum,85,52.32,137.32,Does Not Advance
12-1976,Open,NJ,Gold,123,51.07,174.07,Does Not Advance
12-1977,Open,PA,Silver,Withheld,Withheld,0,Registration Action Required
12-1978,Open,PA,Silver,Withheld,Withheld,0,Registration Action Required
12-1979,Open,PA,Gold,Withheld,Withheld,0,Registration Action Required
12-1981,Open,MD,Gold,77,41.71,118.71,Does Not Advance
12-1982,Open,MD,Silver,58,83.7,141.7,Advances to Semifinals
12-1983,Open,MD,Platinum,96,53.05,149.05,Does Not Advance
12-1984,Open,MD,Gold,78,10,88,Does Not Advance
12-1985,Open,MD,Gold,62,38.67,100.67,Does Not Advance
12-1986,Open,OH,Gold,82,18.5,100.5,Does Not Advance
12-1988,Open,VA,Platinum,153,45.64,198.64,Does Not Advance
12-1991,Open,NE,Platinum,127,18.5,145.5,Does Not Advance
12-1992,Open,VA,Gold,81,21,102,Does Not Advance
12-1993,Open,CA,Gold,44,0,44,Does Not Advance
12-1994,Open,CA,Silver,62,0,62,Does Not Advance
12-1996,Open,LA,Silver,35,24.75,59.75,Does Not Advance
12-1999,Open,CA,Silver,48,83.9,131.9,Advances to Semifinals
12-2001,Open,CA,Platinum,159,66.46,225.46,Does Not Advance
12-2002,Open,CA,Platinum,179,71.84,250.84,Does Not Advance
12-2003,Open,CA,Gold,135,50.97,185.97,Advances to Semifinals
12-2004,Open,CA,Platinum,104,62.93,166.93,Does Not Advance
12-2005,Open,CO,Platinum,241,77.89,318.89,Advances to Semifinals
12-2009,Open,OH,Gold,86,11,97,Does Not Advance
12-2010,Open,OH,Platinum,143,68.59,211.59,Does Not Advance
12-2011,Open,CT,Gold,46,0,46,Does Not Advance
12-2014,Open,VA,Platinum,121,51.39,172.39,Does Not Advance
12-2015,Open,VA,Silver,102,90.08,192.08,Advances to Semifinals
12-2016,Open,VA,Platinum,184,48.57,232.57,Does Not Advance
12-2017,Open,CAN,Platinum,106,89.71,195.71,Does Not Advance
12-2018,Open,VA,Platinum,195,78.92,273.92,Advances to Semifinals
12-2020,Civil Air Patrol,WI,Silver,17,0,17,Does Not Advance
12-2022,Open,VA,Platinum,190,57.39,247.39,Does Not Advance
12-2023,Open,VA,Platinum,208,66.21,274.21,Advances to Semifinals
12-2024,Open,CA,Silver,68,15,83,Does Not Advance
12-2029,Open,CAN,Gold,81,0,81,Does Not Advance
12-2030,Open,CAN,Silver,61,0,61,Does Not Advance
12-2031,Open,CAN,Silver,40,0,40,Does Not Advance
12-2032,Civil Air Patrol,NY,Platinum,82,31.64,113.64,Does Not Advance
12-2033,Army JROTC,MO,Gold,25,38.72,63.72,Does Not Advance
12-2034,Open,CT,Gold,142,38.64,180.64,State Wildcard
12-2037,Civil Air Patrol,NC,Platinum,117,33.34,150.34,Does Not Advance
12-2039,Open,MD,Platinum,138,78.57,216.57,Does Not Advance
12-2040,Open,MD,Platinum,131,88,219,Does Not Advance
12-2052,Open,VA,Platinum,Withheld,Withheld,0,Registration Action Required
12-2060,Open,GA,Gold,86,0,86,Does Not Advance
12-2061,Navy JROTC,WA,Platinum,108,43.21,151.21,Does Not Advance
12-2062,Navy JROTC,WA,Gold,70,8,78,Does Not Advance
12-2063,Navy JROTC,WA,Gold,112,40.21,152.21,Advances to Semifinals
12-2065,Civil Air Patrol,TX,Platinum,105,52.89,157.89,Does Not Advance
12-2066,Open,NJ,Gold,137,57.55,194.55,Advances to Semifinals
12-2067,Open,NJ,Gold,148,61.64,209.64,Advances to Semifinals
12-2068,Open,NJ,Platinum,216,45.59,261.59,Advances to Semifinals
12-2069,Open,NJ,Gold,84,62.17,146.17,Does Not Advance
12-2070,Open,NC,Platinum,168,85.97,253.97,Does Not Advance
12-2071,Open,NC,Platinum,141,71.84,212.84,Does Not Advance
12-2076,Open,VA,Platinum,187,92.03,279.03,Advances to Semifinals
12-2077,Open,VA,Platinum,119,43.38,162.38,Does Not Advance
12-2078,Open,VA,Platinum,149,65.47,214.47,Does Not Advance
12-2079,Open,VA,Gold,148,34.68,182.68,Does Not Advance
12-2082,Open,TX,Gold,124,57.03,181.03,Does Not Advance
12-2084,Open,CA,Gold,83,23,106,Does Not Advance
12-2085,Civil Air Patrol,IN,Gold,102,0,102,Does Not Advance
12-2087,Air Force JROTC,WA,Silver,1,10.5,11.5,Does Not Advance
12-2090,Open,CA,Gold,70,42.38,112.38,Does Not Advance
12-2091,Air Force JROTC,DEU,Platinum,146,81.93,227.93,Advances to Semifinals
12-2092,Open,MD,Gold,94,17,111,Does Not Advance
12-2098,Open,SC,Platinum,193,0,193,Does Not Advance
12-2099,Open,TX,Silver,91,21,112,Does Not Advance
12-2100,Open,TX,Gold,102,71.88,173.88,Does Not Advance
12-2101,Open,TX,Gold,126,45.64,171.64,Does Not Advance
12-2102,Open,TX,Gold,98,12,110,Does Not Advance
12-2103,Open,TX,Gold,157,50.72,207.72,Advances to Semifinals
12-2104,Open,MD,Platinum,263,95.39,358.39,Advances to Semifinals
12-2105,Open,MD,Platinum,196,87.01,283.01,Advances to Semifinals
12-2106,Open,MD,Platinum,184,68.84,252.84,Does Not Advance
12-2108,Open,MD,Platinum,147,74.53,221.53,Does Not Advance
12-2109,Open,MD,Platinum,160,61.13,221.13,Does Not Advance
12-2110,Open,MD,Platinum,175,94.05,269.05,Advances to Semifinals
12-2111,Open,MD,Platinum,198,82.97,280.97,Advances to Semifinals
12-2112,Open,MD,Platinum,240,87.68,327.68,Advances to Semifinals
12-2113,Air Force JROTC,WA,Platinum,171,48.71,219.71,Advances to Semifinals
12-2114,Open,CO,Silver,77,0,77,Does Not Advance
12-2115,Open,CO,Gold,107,45.05,152.05,Does Not Advance
12-2116,Army JROTC,CO,Platinum,82,0,82,Does Not Advance
12-2119,Open,GA,Platinum,126,49.75,175.75,Does Not Advance
12-2120,Army JROTC,NV,Silver,36,12.75,48.75,Does Not Advance
12-2121,Open,NV,Silver,37,19.5,56.5,Does Not Advance
12-2125,Open,CAN,Gold,185,44.86,229.86,Advances to Semifinals
12-2131,Civil Air Patrol,KS,Gold,84,41.03,125.03,Advances to Semifinals
12-2132,Civil Air Patrol,CA,Gold,102,0,102,Does Not Advance
12-2134,Air Force JROTC,MD,Gold,42,7,49,Does Not Advance
12-2135,Air Force JROTC,MD,Gold,37,5,42,Does Not Advance
12-2137,Marine Corps JROTC,NM,Platinum,133,60.39,193.39,Category Wildcard
12-2138,Marine Corps JROTC,NM,Gold,119,54.8,173.8,Advances to Semifinals
12-2155,Open,CA,Silver,140,0,140,Advances to Semifinals
12-2157,Open,MD,Platinum,182,69.51,251.51,Does Not Advance
12-2158,Open,MD,Gold,33,8.5,41.5,Does Not Advance
12-2159,Open,MD,Gold,83,60.09,143.09,Does Not Advance
12-2160,Open,MD,Silver,5,0,5,Does Not Advance
12-2162,Open,NJ,Platinum,182,66.82,248.82,Does Not Advance
12-2169,Open,IN,Platinum,222,91.36,313.36,Advances to Semifinals
12-2170,Open,IN,Platinum,185,59.42,244.42,Does Not Advance
12-2173,Open,TX,Platinum,142,46.84,188.84,Does Not Advance
12-2174,Open,TX,Platinum,158,55.32,213.32,Does Not Advance
12-2175,Open,VA,Platinum,141,87.32,228.32,Does Not Advance
12-2176,Open,VA,Gold,143,10,153,Does Not Advance
12-2177,Open,VA,Gold,111,38.67,149.67,Does Not Advance
12-2178,Open,VA,Gold,130,0,130,Does Not Advance
12-2179,Open,VA,Gold,154,58.5,212.5,Advances to Semifinals
12-2180,Open,VA,Silver,80,76.16,156.16,Advances to Semifinals
12-2181,Open,VA,Gold,98,52.75,150.75,Does Not Advance
12-2182,Open,VA,Gold,104,77.96,181.96,Does Not Advance
12-2184,Open,VA,Gold,130,15.5,145.5,Does Not Advance
12-2185,Open,VA,Gold,90,17,107,Does Not Advance
12-2187,Open,VA,Gold,89,44.36,133.36,Does Not Advance
12-2188,Open,VA,Platinum,200,44.97,244.97,Does Not Advance
12-2189,Civil Air Patrol,SC,Platinum,140,57.39,197.39,Advances to Semifinals
12-2198,Open,WA,Platinum,206,89.34,295.34,Advances to Semifinals
12-2199,Open,WA,Platinum,144,52.76,196.76,Does Not Advance
12-2200,Open,WA,Platinum,177,86.68,263.68,Advances to Semifinals
12-2201,Open,WA,Platinum,161,46.75,207.75,Does Not Advance
12-2202,Open,WA,Platinum,190,64.8,254.8,Does Not Advance
12-2203,Open,CA,Gold,76,46.42,122.42,Does Not Advance
12-2204,Civil Air Patrol,WI,Gold,73,46.89,119.89,Does Not Advance
12-2211,Open,KY,Gold,71,21.5,92.5,Does Not Advance
12-2213,Open,CA,Silver,11,21.75,32.75,Does Not Advance
12-2214,Open,CA,Gold,108,35.03,143.03,Does Not Advance
12-2215,Open,CA,Silver,44,21.05,65.05,Does Not Advance
12-2216,Open,CA,Platinum,145,55.75,200.75,Does Not Advance
12-2218,Open,CA,Gold,56,17,73,Does Not Advance
12-2219,Open,CA,Gold,148,61.43,209.43,Advances to Semifinals
